"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18300","should not login successfully with invalid credentials @skipauth","chrome","Sat Mar 07 07:14:27 UTC 2026","failed","Sat Mar 07 07:14:45 UTC 2026","","tests/ui/login.spec.ts","",""
"","0","delete an environment variable","chrome","Sat Mar 07 07:14:26 UTC 2026","skipped","Sat Mar 07 07:14:26 UTC 2026","Environment Variable Tests","tests/ui/env-var.spec.ts","",""
"","1","update an environment variable","chrome","Sat Mar 07 07:14:26 UTC 2026","skipped","Sat Mar 07 07:14:26 UTC 2026","Environment Variable Tests","tests/ui/env-var.spec.ts","",""
"","23561","create a new environment variable","chrome","Sat Mar 07 07:13:56 UTC 2026","failed","Sat Mar 07 07:14:19 UTC 2026","Environment Variable Tests","tests/ui/env-var.spec.ts","",""
"","23041","should login successfully with valid credentials","chrome","Sat Mar 07 07:13:56 UTC 2026","failed","Sat Mar 07 07:14:19 UTC 2026","","tests/ui/login.spec.ts","",""
