"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6735","should not login successfully with invalid credentials @skipauth","chrome","Sat Mar 07 07:41:32 UTC 2026","passed","Sat Mar 07 07:41:39 UTC 2026","","tests/ui/login.spec.ts","",""
"","9058","should login successfully with valid credentials","chrome","Sat Mar 07 07:41:32 UTC 2026","passed","Sat Mar 07 07:41:41 UTC 2026","","tests/ui/login.spec.ts","",""
